aagę	she did say
gaǫdagyenawaseh	they help her
gaǫdahnyoh	they (female or mixed group) are fishing
gaǫdahǫdǫha	they (female or mixed group) are asking right now
gaǫdakah	near the log
gaǫdanęhgwih	horse
gaǫdao	notched tree
gaǫdas	I blow
gaǫdekǫnih	they (female or mixed group) eat
gaǫdewayęsta	they (female or mixed group) are apprentices; they are learning together
gaǫdęyenahs	policewomen
gaǫdęyenawaseh	they (female or mixed group) are helpers, assistants of hers
gaǫdręnǫnih	they (female or mixed group) are composers
gaǫdręnota	they (female or mixed group) are singers
gaǫdriyahshǫ	my older siblings
gaǫgadahgwaęnih	they (female or mixed group) always leave it for me to store temporarily
gaǫgweda	her relatives (literally: her people)
gaǫgweda	person, human
gaǫgyadahkwa	their (female or mixed group) accessories
gaǫgyanata	they (female or mixed group) are performers (e.g. figure skaters, actors, etc.)
gaǫgyanata degaǫdojinehta	figure skating
gaohǫ	the act of gathering
gaǫhǫka	they (female or mixed group) understand a language
gaǫhǫkahk	they (female or mixed group) used to understand
gaǫhǫta	a wedding present (literally: they (female or mixed group) are asking)
gaǫhsidagrahs	they (female or mixed group) all have stinky feet
gaǫhwajiyatgaǫha	they (female or mixed group) are social work(ers)
gaǫhyadagye	on-going skies, heavens
gaǫhyadagye	skyline, horizon
gaǫhyade	in existing heaven
gaǫhyageh	in the heavens, in the sky
gaǫhyahęh	noon, mid sky
gaǫhyahęh odǫgohdǫh	afternoon
gaǫhyahęhshǫǫh	around mid sky
gaǫnadinyǫta	they (female or mixed group) are moving into a dwelling
gaǫnigǫhǫkta	they (female or mixed group) are giving up (in spirit)
gaǫnihsgyagehs	they (female or mixed group) urinate
gaǫnitsgota	they (female or mixed group) do sit ups
gaǫnyǫ	it included some; it is in there
gaǫtahine	they (female or mixed group) are walking
gaǫtgęhseh	they (female or mixed group) are watching something going on
gaǫtǫwisahs	they (female or mixed group) are women
gaǫweshahs	she is pleased, a good feeling
gaǫwihshęǫh	she is panting
gaǫwihshęǫhǫgye	breathing in a state of panic
gashenigǫhadanih	you betray them continually
gashenigǫhata	you betray them continually
gasheshęnyǫgwęh	you have overpowered them
gatahine	I am walking
gatetrǫni	it is made into flour
gatetrǫni	it has been pounded into powder (i.e. corn)
gatgahaǫhahk	I used to pay attention (but I've lost interest)
gatgeanhahsta	hair tie
gatgęhęhs	I get up all the time
gatgęhetsa	a handle
gatgęhetses	ladle, long-handled spoon, dipper
gatgęhetses agojęhdahkwa	ladle
gatgęhetsǫt	an attached handle
gatgi	meaning unknown
gatgi shęh hwa	maybe, perhaps
gatgitra	junk
gatgǫnyatra	corn bread paddles; corn soup paddles
gatgwęda	wallet, purse, pocketbook, suitcase
gatgwęhdot	cap
gatgwęhsahais	bloodroot
gatgwęhsanahnǫh	pure-bred (literally: full of the same blood)
gatgwęhsas	leukemia
gatgwęnyatra	corn bread paddles; corn soup paddles
gathnǫhgaǫs	I always cut my hair; I am cutting my hair
gatnǫaohai	I am washing my head
gatǫwisahs	I sing seed songs; I am a woman
gatrǫnyahne	I came and told
gatrǫnyahne	I have come here to tell
gatrǫnyahnesgęhę	I used to tell
gatrowih	I tell all the time
gatrowihahk	I used to tell
gatrowihs	I tell all the time
gatseda	bottle, jar
gatsedot	bottle (standing), belly button
gatsehsdahǫh atnatsotra	rubber pants
gatsenę	one animal or pet
gatsenę gadidrǫ	farm yard buildings
gatsenę gadihnegahedahkwa	trough
gatsgęda	a rope
gawadahgwęh	it is deflated
gawaęhęwi	hurricane
gawahaisgyas	meat slicer
gawahaniyǫt	hanging meat
gawahas	cancer
gawaho	boiled meat
gawahsda	clothespin
gawahsda eyahkwa	clothespin bag
gawahsha	earrings
gawaihǫhsdǫh gwadih	to the right (side)
gawaihǫhsdǫh gwai	to the right (side)
gawaiyowis	pigeon hawk
gawaǫdahǫh	it is inflated
gawaǫdas	pump (air)
gawaowanęh	big wind
gawashasde	strong wind
gawat	it is inflated
gawat wadręnota	organ
gawayanędaǫh	it is ready, prepared
gawayęhsdani	it has been taught
gawęhęniyǫt	Hanging Flower
gawęhęyętwahsǫ	flower bed or planted flowers
gawęhęyętwęh	flowers are planted
gawęhodas	blooming plant, flower
gawęhǫta	flowering plant
gawęnagǫ	in the words, voice or in the speech
gawęnagwęniyo	the main word
gawęnahsadaihata	it is hot and peppery; (literally: it heats up your tongue); hot peppers
gawęnayenahs	tape recorder, transcriber
gawęnista	slow marker
gawęnitgęǫ	a speech
gawęnǫdahgǫh	spoken language
gawęnǫdas	tape recorder
gawęnodata	tape recorder
gawęnohgriyas	it cuts weeds
gawęnohgriyasgowah	roadside weed or brush cutter
gawiyanęhsgwęh	a kidnapped child
gawiyatsęnyǫ	child born out of wedlock; foundling; illegitimate child
gaya	bag, mattress, tick; pouch (i.e. a mattress bag into which straw is stuffed)
gayada	picture
gayada	doll
gayadadahgwahs	ferret
gayadadǫgwahs	AIDS
gayadagenhahsra	helpfulness
gayadagowah	January (literally: month of the big dolls)
gayadagrahs	goat
gayadagrahs gadidrǫ	goat shed
gayadahsrǫnih	it dresses it up
gayadaǫnyǫ	pictures
gayadǫnihs	backhoe (literally: it makes a hole, a track)
gayadowehdahsra	the ability to think; thinking skills
gayadowehdǫ	the idea of thinking
gayagǫ	in the bag
gayahgwaniyǫt	hanging pants
gayaneda	chief title 
gayaneda	a chief title
gayaneda eha	clan mother (literally: she holds his horns)l she is the chief title holder
gayanedagaehawaǫnyǫ	title holders, clan mothers
gayanehsra	rights, laws, code
gayanehsra ǫgwahshaine	Canada Act (literally: the laws that govern us)
gayanehsrageh	on the rights, laws, code
gayaǫdiyo	nice-looking body
gayaowanęh	big bag; big tent
gayata	movies, television
gayata ǫnihahsta	video store
gayę	it is lying on the ground
gayędowanęh	Peach Pit Game
gayędowanęh gaję	Peach Pit Dish game
gayęgwaikdǫh owahǫh	bacon
gayęgwas	it eats tobacco, tobacco worm
gayęgwasgowah	tobacco worm
gayęgwayętwęh	tobacco field
gayęhsradęhda	blanket lying spread out on the ground
gayęhsraę	blanket lying on the ground
gayęhsraniyǫt	a hanging blanket
gayęhsrot	flag
gayenahs	it catches, receives, accepts, holds it
gayęnawahsra	help
gayęnawahsra ęhsihsaka	you will look for help
gayętwagwęh	a harvest
gayętwagye	it is planted along
gayętwahgeh	Cornplanter Reserve (place near Warren, Pennsylvania); (literally: where it is planted)
gayętwahsǫ	garden; it is planted (here)
gayętwahsǫ aseshǫ	produce (literally: new vegetables, fruit
gayętwęh	seeded field; it is planted
gayogohonǫ	Cayuga people
gayohgot	fish tail
gayohgwa	Avocet blue stocking (bird)
gayohgwageh	on its tail (pertaining to birds)
gayowagayǫh	Old Moccasin Dance
gayowah	Moccasin Dance
gayǫwawetahǫh	hot dog (weiners or sausage on a bun)
gę	be the one
geahsageh	on my chest
gędahswahęhdrǫ	a scolding
gędaǫhsra	mercy
gędehsra	sexuality
gędęǫ	to help each other; compassion, helpfulness
gędęǫhsra	pity, mercy, compassion
gędǫgwahstwahdǫh	the flame is turned down
gedręniyo	I smell nice
gedręnowanęh	I have a big smell, odour, scent
gegahageh	on my eye
gegahehdageh	on my eyelashes
gegahehdęht	lye (corn)!
gegahgwaosageh	on my eyebrow
gęgę	it is white; it is light-skinned, it is light-coloured
gęgę nigayadodę hnyagwai	polar bear
gegea	I am raggedy
gęgęgahwihsdanǫ	white gold
gegęh	I see (regularly, but perhaps at irregular intervals) 
gegęhs	I see (i.e. I see apple trees, orange trees, ... and sometimes, I also see cherry trees)
gegęsdageh	on my forehead; on my hairline or upper brow
gęgętrosgǫ	it is all white
gegǫdageh	on the bridge of my nose
gegǫhsageh	on my face
gegowanęh	I am big
gęgyohgǫgyes	people roaming about
gęgyohgot	a crowd
gęgyohgwa	a crowd; the public
gęgyohgwaę	association; council; agency; group
gęgyohgwagǫ	in the crowd, in the public
gęgyohgwiyǫ	it is a nice big crowd
geh	denotes a place; see ‘external locatives’ in grammatical appendix; does not occur alone
gęh	word used with yes-no questions; whether; if; etc.
gehanageh	on my groin
gehdegageh	on my rib
gęheyǫhs	it is dying
gehnadaǫnihs	I bake (continually); I'm a baker
gehnageh	on my skin
gehnatę	I have dry skin
gehnatsageh	on my buttock
gehnesdanyas	I am sawing a board
gehnǫhkwa	I love
gehnyagwai	I am Bear Clan.
gehnyasageh	on my neck (front of neck)
gehohgwageh	on my lips 
gehowes	I am covering something
gehsagahęt	my mouth
gehshaǫt	I am tied up
gehshǫhneh	my lower back
gęhsinageh	on my leg
gehsnadageh	on my calf (of leg)
gehsohdageh	on my hand
gehsǫhgageh	on my upper lip
gehsohgwageh	on my lip
gehsot	my grandmother
gehstahk	I used to use it
gehswenageh	on my upper back
gehtaha	I talk
gehtahahk	I was a talker; I used to talk
gehwajiowanęhah	my family is fairly big
gehwajiyowanęh	I have a big family (people)
gei	four
gei gahsinat	iron pot (with four legs)
gei hadǫt	Thursday (literally: fourth day)
gei hadǫtgęhę	Thursday (past)
gei nadewęnyawe	four hundred
gei nadeyodagaǫde	a square (literally: it has four equal sides)
gei nigahsiǫtrage	fifty cents
gei nigahwihsdage	four dollars
gei nigatsedage	one gallon
gei nigętshedage wadǫdata	one gallon jug
gei niwahshę	forty
gei niwahshę ahsęh	forty-three
gei niwahshę degrǫ	forty-eight
gei niwahshę dekni	forty-two
gei niwahshę gei	forty-four
gei niwahshę gyohdǫ	forty-nine
gei niwahshę hwihs	forty-five
gei niwahshę hyei	forty-six
gei niwahshę jadahk	forty-seven
gei niwahshę sgat	forty-one
gei niwahsǫdage	Four Nights Ceremony (part of Sustenance dances or gavnahslfjlh)
gei niyǫ sgatshǫ wadǫdata gatsheda	four quart jars
gei niyoihwage	Four Ceremonies
gei niyotgǫhsgwatro	four panes of glass
gei skae	fourteen
gejagǫhs	I persevere all the time
gejiaohogwageh	on my ankle
gejiehdǫt gejiohdǫt	I have fingernails
gejihohta	I am closing it right now; I am going along closing things
gejihsgogwageh	on my hip
gejinah	I am strong
gejiohdageh	on my nail
gęjǫdayęnahs	fish hook
gekǫnihsgęhę	I used to cook
geksedageh	on my belly
geksohaihǫh	I am washing dishes
gekwahkwa	my stomach; (literally: (where) I put the food)
gęnadadwęniyo gęnes honahsdisdǫh	Parks and Wildlife Federation
gęnadagwęniyo	they (animal) are wild
gęnadinyǫta	I am moving into a dwelling
gęnadowas	they (animal) are hunting
gęnadręnodahkwa	kingfisher (bird)
gęnadręnota	they (animal) are singers
gęnadrihodas	they (animal) work
gęnadrohes	they (animal) are flocking
gęnahǫhdageh	on their (animal) ears
gęnahsidagrahs	they (animal) all have stinky feet
gęnatahine	they (animal) are walking
gęnehah	they (animal) are proud
gęnęnagehneh	fall; autumn
gęnes	they (animal) are around, they are here; they are together--
genętsot	my (attached) arm (more common form)
gęnewaǫs	I get surprised
gęnhagwegǫh	all summer
gęnhehgeha	summer type
gęnhehneh	summer
genhodǫgwahs	I open or unlock
genhodǫha	I lock something
genhohas	I close the door
genhǫhdagrahs	my armpits smell 
genhǫhsgageh	on my inner thigh
gęnihęha	I always quit
gęnihnadogata	nerve
gęnihnadohkdahkwa	my nerves
genǫgwageh	on my breast
genǫhedrageh	on my nipples 
genyagęs	I'm an escaper
genyahdę	I am of the Turtle Clan
genyędageh	on my shin, leg
genyǫhsageh	on my nose
geohs	I am a chopper
gęs	generally
gęsętwahs	I am kicking
geteta	I am a pounder
gętseda	bottle, jar
gętsedo	cold packing (part of the process of canning)
getsedot	my navel
gętsga	mattress, sleeping mat
gętsgashǫǫh	bedding
gętsgasrǫnyadǫh	it is made for the lower body
gętsgot	it is sitting
getshęnyes	I am a finder of things
getshęnyǫhs	I am a finder of things
gi	just; really
gi gyę	just because
gi hne	instead
gi shęh	maybe
gi shęh hwa	maybe that; perhaps
gi tsǫ	just that, just there
gihęde	creek, river, stream
gihędenyǫ	streams, rivers, creeks
gihęgehahneh	I am going to the river 
gihęgǫ	it is in the stream, creeks, river
gihęgowahneh	the Grand River (literally: to the big river)
gihęk	river, stream, creek
gihękah	riverside, along the river
gihękdakdagye	along the river, stream, creek, shoreline
giheyǫhs	I am dying
gihnageh	on my skin
gihnagehshǫ	all over m y skin
gihnatę	I have dry skin
gihsas	I am looking for it
giksedot	my navel
gitsgot	I am sitting
gitsgwahe	I am perched up on s.t.; I am sitting on s.t.
godagaide	she is healthy
gǫdagye	immediately, right away
godaǫ	she is lucky, fortunate
godas	I drape it all the time
godasta	her or someone's pyjamas
godasta agyadawitra	nightgown
godasta ahgwęnya	pyjamas
godędǫnyata	convulsions
godeh	she is horny
gǫdeh	eel
godehęǫhsdǫh	she is a widow
godidrehda	their (female or mixed group) car
godigrǫ	she is shy
godihnegadaihadǫh	they (female or mixed group) do tea meetings, supper
godihsidatgi	they (female or mixed group) have dirty feet
godihswęgaiyo	They (female or mixed group) are Hawk Clan
godinǫhsǫni	Longhouse people
godinǫhsot	their (female or mixed group) home
godinǫtsanǫhwas gonǫtsanǫhwas	they (female or mixed group) have a sore knee
godinyagęǫh	they (female or mixed group) ran away
godiyadahsde	they (female or mixed group) are heavy
gǫdǫhne	I suppose
godǫhǫni	newborn child
godoihsręhdǫh	she is breathing
godǫse	it did benefit her
godǫsta	it always benefits her
godrehda	her car
godrehdagayǫh	her old car
godrehdagęhę	it was her car
godrehdase	her new car
godręnodagye	she is singing as she travels
godręnot	she is singing
godrihǫt	she is a faithkeeper
godrihwagwaehsǫh	she is fair, righteous
godrihwagyaǫǫh goyadanęhgwih hadowih	ambulance driver
godrǫhyat	she is unwilling, stubborn
goganyakdǫhǫgye	she is paying as the goes along
gogea	her hair
gogeaji	she has dark hair
gogees	she has long hair
gǫgęhędanih	I am sick of you
gogǫhsatgi	she has a dirty face
gǫgwedase	I am a young person
gǫgwediyo	I am a nice person
gogwęhęhdǫh	new born baby
gogyadagwegǫh	she is constipated
gogyadawitra	her coat or dress
gogyehsahsdǫ	she is extravagant, wasteful
gogyes	to get rid of something, throw it away
gogyes eyahkwa	garbage can
gogyes gadroda	disposable diapers
gogyes hanęhgwih	garbage man
gogyesageh	she is generous, generous to a fault
gohadiyo	she is a good singer, she has a good voice
gohdogadǫhǫgye	she is growing something
gohetgaǫgwęnih	wild roses
goheyǫdaswahs	she smells a dead body
gohgahę	she is jealous
gohgowah	queen, the Queen
gohgowi	quail, partridge
gohǫdas	she or someone has hives
gohsadęhs	horse (old word)
gohsdęęh	she is old
gohsdęhyai	she is an older woman
gohsdihsdǫh	she is a director, principle, head, etc.
gohsdǫhǫgye	she is arriving wearing that
gohse	she is riding a horse
gohsę	she is fat
gohsehdǫh	woman's genitals
gǫhsęnaędi	I know your name
gǫhsganes	I desire you
gohsganye	she has shuffled
gohsganyehagye	she is shuffling along
gohsgyǫwatę	she is thin
gohsidanǫhwas	she has a sore foot
gohsidatgi	she has dirty feet
gohsinajiyo	she has a bad leg
gǫhso	soft maple
gohsogahne	she limped as she arrived
gohsohdatgi	she has dirty hands
gohsoka	she is limping
gohsokahk	she used to limp
gohsrehka	winter kind
gohsrehka agyadawitra	winter coat
gohsrehka ahdahgwa	winter boots
gohsrehka anahaǫtra	winter hat
gohsrehneh	winter time
gǫhswahęhs	I hate you
gohta	she is speaking
gohyagwęhęgye	as she is picking along 
gohyagwęhęgyes	she picks along (i.e. whenever)
goihogat	she is always bringing up the past or looking for information
goihwagade	she is a chatterbox
goihwageh	someone's affairs
gojaohogwanǫhwas	she has a sore ankle
gojidai	she's a cry-baby
gojidowanęh	she's a great big cry-baby
gojiyo	she is crippled
gokǫni	she is cooking
gokyadǫhsrahsdisdǫh	she is a librarian
gokyędahkwagęhę	it used to be her chair
gonadagaide	they (female or mixed group) are healthy
gonadęnidęhdǫh	they (female or mixed group) are pleading
gonadręnodak	they (female or mixed group) did sing
gonadręnǫni	they (female or mixed group) composed a song
gonadręnot	they (female or mixed group) are singing
gonadrihǫt	they (female or mixed group) are faithkeepers
gonagyoh	their (female or mixed group) or her in-laws
gonahsidanǫhwas	they (female or mixed group) have a sore foot
gonatgǫh	they are (literally: it is) a force to be reckoned with; it is ominous; they are bad medicine people
gonatnahgwayǫni	they (female or mixed group) are common-law
gonatowinyǫse	they (female or mixed group) have a cold
gonatsęnǫni	they (animal) are happy, glad
gonatsih	they (animal) are friends
gonatwajiyatgaha	they (female or mixed group) are social work(ers)
gonęnadinyǫdǫh	they (female or mixed group) have moved in
gonętsa	her arm (i.e. a doll's)
gonhatra	someone's assistant
gonhatra shagogyadanǫhgwanih	ambassadors, commissioners, etc.
gonhatrashǫ	they (female or mixed group) are ministers
gonigǫhaędas	she understands
gonigǫhahetgęs	she is sobbing unconntrollably
gonigǫhanidęht	she is gentle, nice, humble
gǫnih	I make, earn
gǫnihs	I make, earn
goniǫh	she is stingy
gonǫdanhęh	she is guilty
gonodrahs	she has open, weeping sores
gonǫgweda	their relatives (literally: their people)
gonǫhdǫ	she knows
gonohęjih	they are private people
gonǫhgęt	she is fair haired, she has light hair
gonǫhkwa	I love you
gonǫhratę	she has grey hair
gonǫhsgǫhka	anything that belongs in a house
gǫnǫhwes	I like you
gonǫnyatgi	she does not dance very well
gonǫseh	she is idle, lazy
gonyakdre	a bride to be; (literally: she is getting married)
gonyas	she's getting married
gotadadih	smart weed
gotędihsanhǫ	Finish Planting Ceremony
gotgahidǫh	she is playing with it now
gotganǫnihagye	prosperity; (someone is) prospering
gotgǫ	she is a witch
gotgǫnyohs	she has high standards
gotowinyǫse	she has a cold
gotsahniht	she is a good worker, tireless, active, industrious,etc.
gǫtsanǫhwas	she has a sore knee
gǫtshageh	on my knee
gotsohihǫh	I have bit it
gotwaehsdǫh	she is a boarder, homeless, a transient
gǫwadigowanęh	their leader
gǫwahsęniyohsta	it is complimentary, flattering
gowanęh	it is big
gowanęhah	it is fairly big
gowas	it is communicable (disease, vermin)
gowędagę	she is a wimp, timid
gowęnahsais	smart weed
gowęnęshędǫh	Her Voice Suspended or Scattered (Onondaga Chief Title)
gowęnohgras	poison ivy; any plant that causes a skin infection
gowih	red oak
gowiyaędadre	she is with child
gowiyat	she is pregnant, has a baby in her
goyadadeht	she is agile
